Subj,Condition,Language,Know,Know_Time,Control_Bob,Control_Sue,Felicity,Fel_Time,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
176,2,1,5,46.037,9,9,6,26.298,21,29,1,,,,,,1,,,6,3
177,2,1,2,0,9,10,3,0,21,32,1,,,,,,1,,,,8
178,2,1,7,189.564,9,9,7,15.157,21,22,1,,,1,,,,,,4,7
179,2,1,6,58.719,9,9,6,18.691,21,28,1,,,,,,1,,,4,9
180,2,1,6,30.689,9,9,7,14.945,21,23,1,,,1,,,,,,4,9
181,2,1,6,79.197,9,9,6,18.405,21,60,2,,,,,,1,,,5,5
182,2,1,5,79.54,9,9,5,18.174,22,34,2,,,,1,,,,,4,6
183,2,1,2,25.771,9,10,1,11.201,21,26,1,,,,1,,,,,5,4
184,2,1,1,36.953,9,9,2,16.066,21,34,2,,,,,,1,,,5,4
185,2,1,3,39.229,9,9,5,25.002,21,34,2,,,,,,1,,,3,8
186,2,1,5,40.716,9,9,5,17.469,21,19,1,,,,1,,,,,4,6
187,2,1,3,83.415,9,9,3,27.706,21,35,1,,,,,,1,,,4,6
188,2,1,2,61.636,9,9,4,27.018,21,30,1,,,,,,1,,,5,6
189,2,1,6,22.557,9,9,7,13.95,21,20,2,,,,,,,1,mixed,4,5
190,2,1,6,38.506,9,9,6,15.115,21,20,1,,,1,,,,,,4,7
191,2,1,3,48.104,9,9,5,20.697,21,19,1,,,,1,,1,,,4,6
192,2,1,4,52.684,9,10,4,28.595,21,36,1,,,1,,,,,,2,8
193,2,1,5,39.983,9,9,5,7.531,21,25,2,,,,,,1,,,2,8
194,2,1,7,40.082,9,9,7,14.48,21,28,1,,,,1,,,,,3,5
195,2,1,4,11.092,10,9,5,4.68,21,23,2,,,,,,1,,,5,5
196,2,1,5,46.11,9,9,6,29.315,21,19,2,,1,,,,,,,4,6
197,2,1,5,48.562,9,9,6,23.494,21,28,1,,,,,1,1,,,5,6
198,2,1,7,64.471,9,9,7,17.417,21,24,1,,,,,,1,,,4,8
199,2,1,5,28.339,9,9,5,14.64,21,29,2,,,,1,,,,,6,5
200,2,1,5,41.281,9,9,5,18.918,21,28,1,,,,,,1,,,4,7
201,2,1,5,38.124,9,9,5,22.353,21,28,1,,,,,,1,,,4,8
202,2,1,3,59.825,9,10,4,13.781,21,25,1,,,,,,1,,,2,4
203,2,1,6,48.36,9,9,6,20.989,21,48,1,,,,,,1,,,3,5
